指标,年份,产量
数码照相机产量(万台),2007,7493.46
数码照相机产量(万台),2006,6101.8
数码照相机产量(万台),2005,5522.97
数码照相机产量(万台),2004,4207.59
数码照相机产量(万台),2003,
数码照相机产量(万台),2002,
数码照相机产量(万台),2001,
数码照相机产量(万台),2000,
数码照相机产量(万台),1999,
数码照相机产量(万台),1998,
摩托车整车产量(万辆),2022,
摩托车整车产量(万辆),2021,2578.74
摩托车整车产量(万辆),2020,2180.25
摩托车整车产量(万辆),2019,1698.84
摩托车整车产量(万辆),2018,1820.52
摩托车整车产量(万辆),2017,2267.66
摩托车整车产量(万辆),2016,2390.69
摩托车整车产量(万辆),2015,2502.8
摩托车整车产量(万辆),2014,2691.7
摩托车整车产量(万辆),2013,2527.1
摩托车整车产量(万辆),2012,2603.02
摩托车整车产量(万辆),2011,2735.5
摩托车整车产量(万辆),2010,2734.17
摩托车整车产量(万辆),2009,2758.72
摩托车整车产量(万辆),2008,2837.87
摩托车整车产量(万辆),2007,2508.32
摩托车整车产量(万辆),2006,2054.5
摩托车整车产量(万辆),2005,1690.93
摩托车整车产量(万辆),2004,1674.92
摩托车整车产量(万辆),2003,1461.34
摩托车整车产量(万辆),2002,1198.8
摩托车整车产量(万辆),2001,1041.45
摩托车整车产量(万辆),2000,960.19
摩托车整车产量(万辆),1999,978.2
摩托车整车产量(万辆),1998,829.09
房间空气调节器产量(万台),2022,22247.3
房间空气调节器产量(万台),2021,21835.7
房间空气调节器产量(万台),2020,21035.25
房间空气调节器产量(万台),2019,21866.16
房间空气调节器产量(万台),2018,20955.68
房间空气调节器产量(万台),2017,17861.53
房间空气调节器产量(万台),2016,14342.37
房间空气调节器产量(万台),2015,14200.35
房间空气调节器产量(万台),2014,14463.27
房间空气调节器产量(万台),2013,13069.3
房间空气调节器产量(万台),2012,12398.72
房间空气调节器产量(万台),2011,13912.5
房间空气调节器产量(万台),2010,10887.47
房间空气调节器产量(万台),2009,8078.25
房间空气调节器产量(万台),2008,8147.37
房间空气调节器产量(万台),2007,8014.28
房间空气调节器产量(万台),2006,6849.42
房间空气调节器产量(万台),2005,6764.57
房间空气调节器产量(万台),2004,6390.33
房间空气调节器产量(万台),2003,4820.86
房间空气调节器产量(万台),2002,3135.11
房间空气调节器产量(万台),2001,2333.64
房间空气调节器产量(万台),2000,1826.67
房间空气调节器产量(万台),1999,1337.64
房间空气调节器产量(万台),1998,1156.87
成品糖产量(万吨),2022,1486.8
成品糖产量(万吨),2021,1449.74
成品糖产量(万吨),2020,1431.3
成品糖产量(万吨),2019,1389.39
成品糖产量(万吨),2018,1198.77
成品糖产量(万吨),2017,1472.04
成品糖产量(万吨),2016,1443.3
成品糖产量(万吨),2015,1474.11
成品糖产量(万吨),2014,1642.67
成品糖产量(万吨),2013,1592.76
成品糖产量(万吨),2012,1409.47
成品糖产量(万吨),2011,1187.43
成品糖产量(万吨),2010,1117.59
成品糖产量(万吨),2009,1338.35
成品糖产量(万吨),2008,1432.61
成品糖产量(万吨),2007,1271.38
成品糖产量(万吨),2006,949.07
成品糖产量(万吨),2005,912.37
成品糖产量(万吨),2004,1033.7
成品糖产量(万吨),2003,1083.94
成品糖产量(万吨),2002,926
成品糖产量(万吨),2001,653.1
成品糖产量(万吨),2000,700
成品糖产量(万吨),1999,861
成品糖产量(万吨),1998,826
微型计算机设备产量(万台),2022,43418.2
微型计算机设备产量(万台),2021,46691.98
微型计算机设备产量(万台),2020,37800.41
微型计算机设备产量(万台),2019,34163.22
微型计算机设备产量(万台),2018,31580.23
微型计算机设备产量(万台),2017,30678.37
微型计算机设备产量(万台),2016,29008.51
微型计算机设备产量(万台),2015,31418.7
微型计算机设备产量(万台),2014,35079.63
微型计算机设备产量(万台),2013,35348.41
微型计算机设备产量(万台),2012,31806.71
微型计算机设备产量(万台),2011,32036.93
微型计算机设备产量(万台),2010,24584.46
微型计算机设备产量(万台),2009,18215.07
微型计算机设备产量(万台),2008,15853.65
微型计算机设备产量(万台),2007,12073.38
微型计算机设备产量(万台),2006,9336.44
微型计算机设备产量(万台),2005,8084.89
微型计算机设备产量(万台),2004,5974.9
微型计算机设备产量(万台),2003,3216.7
微型计算机设备产量(万台),2002,1463.51
微型计算机设备产量(万台),2001,877.65
微型计算机设备产量(万台),2000,672
微型计算机设备产量(万台),1999,405
微型计算机设备产量(万台),1998,291.4
彩色电视机产量(万台),2022,19578.3
彩色电视机产量(万台),2021,18496.53
彩色电视机产量(万台),2020,19626.24
彩色电视机产量(万台),2019,18999.06
彩色电视机产量(万台),2018,19695.03
彩色电视机产量(万台),2017,15932.62
彩色电视机产量(万台),2016,15769.64
彩色电视机产量(万台),2015,14475.73
彩色电视机产量(万台),2014,14128.9
彩色电视机产量(万台),2013,12745.21
彩色电视机产量(万台),2012,12823.52
彩色电视机产量(万台),2011,12231.34
彩色电视机产量(万台),2010,11830.03
彩色电视机产量(万台),2009,9898.79
彩色电视机产量(万台),2008,9187.14
彩色电视机产量(万台),2007,8478.01
彩色电视机产量(万台),2006,8375.4
彩色电视机产量(万台),2005,8283.22
彩色电视机产量(万台),2004,7431.83
彩色电视机产量(万台),2003,6541.4
彩色电视机产量(万台),2002,5155
彩色电视机产量(万台),2001,4093.7
彩色电视机产量(万台),2000,3936
彩色电视机产量(万台),1999,4262
彩色电视机产量(万台),1998,3497
平板玻璃产量(万重量箱),2022,101620.8
平板玻璃产量(万重量箱),2021,101727.37
平板玻璃产量(万重量箱),2020,95227.79
平板玻璃产量(万重量箱),2019,94461.22
平板玻璃产量(万重量箱),2018,93963.26
平板玻璃产量(万重量箱),2017,83765.8
平板玻璃产量(万重量箱),2016,80408.45
平板玻璃产量(万重量箱),2015,78651.63
平板玻璃产量(万重量箱),2014,83128.16
平板玻璃产量(万重量箱),2013,79285.8
平板玻璃产量(万重量箱),2012,75050.5
平板玻璃产量(万重量箱),2011,79107.55
平板玻璃产量(万重量箱),2010,66330.8
平板玻璃产量(万重量箱),2009,58574.07
平板玻璃产量(万重量箱),2008,59890.39
平板玻璃产量(万重量箱),2007,53918.07
平板玻璃产量(万重量箱),2006,46574.7
平板玻璃产量(万重量箱),2005,40210.24
平板玻璃产量(万重量箱),2004,37026.17
平板玻璃产量(万重量箱),2003,27702.6
平板玻璃产量(万重量箱),2002,23445.56
平板玻璃产量(万重量箱),2001,20964.12
平板玻璃产量(万重量箱),2000,18352.2
平板玻璃产量(万重量箱),1999,17419.79
平板玻璃产量(万重量箱),1998,17194.03
布产量(亿米),2022,467.5
布产量(亿米),2021,501.95
布产量(亿米),2020,459.19
布产量(亿米),2019,555.19
布产量(亿米),2018,698.47
布产量(亿米),2017,691.05
布产量(亿米),2016,906.75
布产量(亿米),2015,892.58
布产量(亿米),2014,893.68
布产量(亿米),2013,897.59
布产量(亿米),2012,848.94
布产量(亿米),2011,814.14
布产量(亿米),2010,800
布产量(亿米),2009,753.42
布产量(亿米),2008,723.05
布产量(亿米),2007,675.26
布产量(亿米),2006,598.55
布产量(亿米),2005,484.39
布产量(亿米),2004,482.1
布产量(亿米),2003,353.52
布产量(亿米),2002,322.39
布产量(亿米),2001,290
布产量(亿米),2000,277
布产量(亿米),1999,250
布产量(亿米),1998,241
家用电风扇产量(万台),2022,
家用电风扇产量(万台),2021,24972.4
家用电风扇产量(万台),2020,23630.83
家用电风扇产量(万台),2019,21607.17
家用电风扇产量(万台),2018,20524.43
家用电风扇产量(万台),2017,18643.05
家用电风扇产量(万台),2016,17631.87
家用电风扇产量(万台),2015,17173.56
家用电风扇产量(万台),2014,16551.17
家用电风扇产量(万台),2013,15875.5
家用电风扇产量(万台),2012,16593.59
家用电风扇产量(万台),2011,18845.89
家用电风扇产量(万台),2010,18067.92
家用电风扇产量(万台),2009,15955.05
家用电风扇产量(万台),2008,15866.85
家用电风扇产量(万台),2007,15440.04
家用电风扇产量(万台),2006,14465.85
家用电风扇产量(万台),2005,12022.39
家用电风扇产量(万台),2004,14169.67
家用电风扇产量(万台),2003,12980.92
家用电风扇产量(万台),2002,10761.33
家用电风扇产量(万台),2001,9616.1
家用电风扇产量(万台),2000,7661.61
家用电风扇产量(万台),1999,6158.14
家用电风扇产量(万台),1998,6724.49
家用电冰箱产量(万台),2022,8664.4
家用电冰箱产量(万台),2021,8992.11
家用电冰箱产量(万台),2020,9014.71
家用电冰箱产量(万台),2019,7904.25
家用电冰箱产量(万台),2018,8108.79
家用电冰箱产量(万台),2017,8314.48
家用电冰箱产量(万台),2016,8481.57
家用电冰箱产量(万台),2015,7992.75
家用电冰箱产量(万台),2014,8796.09
家用电冰箱产量(万台),2013,9255.74
家用电冰箱产量(万台),2012,8427
家用电冰箱产量(万台),2011,8699.2
家用电冰箱产量(万台),2010,7295.72
家用电冰箱产量(万台),2009,5930.45
家用电冰箱产量(万台),2008,4799.95
家用电冰箱产量(万台),2007,4397.13
家用电冰箱产量(万台),2006,3530.89
家用电冰箱产量(万台),2005,2987.06
家用电冰箱产量(万台),2004,3007.59
家用电冰箱产量(万台),2003,2242.56
家用电冰箱产量(万台),2002,1598.87
家用电冰箱产量(万台),2001,1351.26
家用电冰箱产量(万台),2000,1279
家用电冰箱产量(万台),1999,1210
家用电冰箱产量(万台),1998,1060
家用洗衣机产量(万台),2022,
家用洗衣机产量(万台),2021,8618.54
家用洗衣机产量(万台),2020,8041.87
家用洗衣机产量(万台),2019,7432.99
家用洗衣机产量(万台),2018,7261.5
家用洗衣机产量(万台),2017,7500.88
家用洗衣机产量(万台),2016,7620.85
家用洗衣机产量(万台),2015,7274.5
家用洗衣机产量(万台),2014,7114.4
家用洗衣机产量(万台),2013,7300.53
家用洗衣机产量(万台),2012,6791.12
家用洗衣机产量(万台),2011,6715.94
家用洗衣机产量(万台),2010,6247.73
家用洗衣机产量(万台),2009,4973.63
家用洗衣机产量(万台),2008,4447
家用洗衣机产量(万台),2007,4005.1
家用洗衣机产量(万台),2006,3560.5
家用洗衣机产量(万台),2005,3035.52
家用洗衣机产量(万台),2004,2533.41
家用洗衣机产量(万台),2003,1964.46
家用洗衣机产量(万台),2002,1595.76
家用洗衣机产量(万台),2001,1341.61
家用洗衣机产量(万台),2000,1442.98
家用洗衣机产量(万台),1999,1342.17
家用洗衣机产量(万台),1998,1207.31
家用吸排油烟机产量(万台),2022,
家用吸排油烟机产量(万台),2021,4121.45
家用吸排油烟机产量(万台),2020,3535.88
家用吸排油烟机产量(万台),2019,3711.8
家用吸排油烟机产量(万台),2018,3432.04
家用吸排油烟机产量(万台),2017,3144.03
家用吸排油烟机产量(万台),2016,3180.31
家用吸排油烟机产量(万台),2015,3046.39
家用吸排油烟机产量(万台),2014,3082.25
家用吸排油烟机产量(万台),2013,2783.55
家用吸排油烟机产量(万台),2012,2235.37
家用吸排油烟机产量(万台),2011,2032.06
家用吸排油烟机产量(万台),2010,2028.33
家用吸排油烟机产量(万台),2009,1714.48
家用吸排油烟机产量(万台),2008,1709.71
家用吸排油烟机产量(万台),2007,1216.88
家用吸排油烟机产量(万台),2006,1118.07
家用吸排油烟机产量(万台),2005,730.1
家用吸排油烟机产量(万台),2004,677.44
家用吸排油烟机产量(万台),2003,477.25
家用吸排油烟机产量(万台),2002,426.46
家用吸排油烟机产量(万台),2001,456.28
家用吸排油烟机产量(万台),2000,366.15
家用吸排油烟机产量(万台),1999,351.41
家用吸排油烟机产量(万台),1998,258.15
家用吸尘器产量(万台),2022,
家用吸尘器产量(万台),2021,14413.66
家用吸尘器产量(万台),2020,13382.89
家用吸尘器产量(万台),2019,11214.6
家用吸尘器产量(万台),2018,11297.47
家用吸尘器产量(万台),2017,9892.33
家用吸尘器产量(万台),2016,8765.79
家用吸尘器产量(万台),2015,8703.6
家用吸尘器产量(万台),2014,8799.8
家用吸尘器产量(万台),2013,8981.07
家用吸尘器产量(万台),2012,8145.09
家用吸尘器产量(万台),2011,8400.46
家用吸尘器产量(万台),2010,7669.36
家用吸尘器产量(万台),2009,6534.66
家用吸尘器产量(万台),2008,8324.32
家用吸尘器产量(万台),2007,6514.22
家用吸尘器产量(万台),2006,5319.13
家用吸尘器产量(万台),2005,4679.31
家用吸尘器产量(万台),2004,5015.42
家用吸尘器产量(万台),2003,2185.35
家用吸尘器产量(万台),2002,1611.16
家用吸尘器产量(万台),2001,1141.17
家用吸尘器产量(万台),2000,1010.3
家用吸尘器产量(万台),1999,574.99
家用吸尘器产量(万台),1998,519.18
客车产量(万辆),2022,
客车产量(万辆),2021,50.79
客车产量(万辆),2020,44.07
客车产量(万辆),2019,46.63
客车产量(万辆),2018,54.77
客车产量(万辆),2017,55.02
客车产量(万辆),2016,60.85
客车产量(万辆),2015,80.42
客车产量(万辆),2014,158.7
客车产量(万辆),2013,162.09
客车产量(万辆),2012,271.75
客车产量(万辆),2011,227.19
客车产量(万辆),2010,246.53
客车产量(万辆),2009,202.87
客车产量(万辆),2008,198.61
客车产量(万辆),2007,189.17
客车产量(万辆),2006,152.41
客车产量(万辆),2005,128.2
客车产量(万辆),2004,48.17
客车产量(万辆),2003,94.66
客车产量(万辆),2002,86.47
客车产量(万辆),2001,72.07
客车产量(万辆),2000,57.79
客车产量(万辆),1999,42.49
客车产量(万辆),1998,32.11
天然气产量(亿立方米),2022,2201.1
天然气产量(亿立方米),2021,2075.84
天然气产量(亿立方米),2020,1924.95
天然气产量(亿立方米),2019,1753.62
天然气产量(亿立方米),2018,1601.59
天然气产量(亿立方米),2017,1480.35
天然气产量(亿立方米),2016,1368.65
天然气产量(亿立方米),2015,1346.1
天然气产量(亿立方米),2014,1301.57
天然气产量(亿立方米),2013,1208.58
天然气产量(亿立方米),2012,1106.08
天然气产量(亿立方米),2011,1053.37
天然气产量(亿立方米),2010,957.91
天然气产量(亿立方米),2009,852.69
天然气产量(亿立方米),2008,802.99
天然气产量(亿立方米),2007,692.4
天然气产量(亿立方米),2006,585.53
天然气产量(亿立方米),2005,493.2
天然气产量(亿立方米),2004,414.6
天然气产量(亿立方米),2003,350.15
天然气产量(亿立方米),2002,326.61
天然气产量(亿立方米),2001,303.29
天然气产量(亿立方米),2000,272
天然气产量(亿立方米),1999,251.98
天然气产量(亿立方米),1998,232.79
大型型钢产量(万吨),2022,
大型型钢产量(万吨),2021,1981.41
大型型钢产量(万吨),2020,1855.74
大型型钢产量(万吨),2019,1586.87
大型型钢产量(万吨),2018,1395.33
大型型钢产量(万吨),2017,1460.7
大型型钢产量(万吨),2016,1549.43
大型型钢产量(万吨),2015,1322.21
大型型钢产量(万吨),2014,1349.4
大型型钢产量(万吨),2013,1282.61
大型型钢产量(万吨),2012,1134.07
大型型钢产量(万吨),2011,1085.25
大型型钢产量(万吨),2010,946.54
大型型钢产量(万吨),2009,947.1
大型型钢产量(万吨),2008,962.45
大型型钢产量(万吨),2007,1008.11
大型型钢产量(万吨),2006,917.28
大型型钢产量(万吨),2005,752.04
大型型钢产量(万吨),2004,809.46
大型型钢产量(万吨),2003,309.31
大型型钢产量(万吨),2002,267.82
大型型钢产量(万吨),2001,226.17
大型型钢产量(万吨),2000,161.52
大型型钢产量(万吨),1999,115.35
大型型钢产量(万吨),1998,102.9
大中型拖拉机产量(万台),2022,40
大中型拖拉机产量(万台),2021,41.17
大中型拖拉机产量(万台),2020,34.52
大中型拖拉机产量(万台),2019,28.08
大中型拖拉机产量(万台),2018,26.21
大中型拖拉机产量(万台),2017,34.44
大中型拖拉机产量(万台),2016,61.84
大中型拖拉机产量(万台),2015,68.82
大中型拖拉机产量(万台),2014,64.37
大中型拖拉机产量(万台),2013,66.56
大中型拖拉机产量(万台),2012,52.73
大中型拖拉机产量(万台),2011,40.19
大中型拖拉机产量(万台),2010,33.68
大中型拖拉机产量(万台),2009,37.13
大中型拖拉机产量(万台),2008,28.44
大中型拖拉机产量(万台),2007,20.31
大中型拖拉机产量(万台),2006,19.93
大中型拖拉机产量(万台),2005,16.33
大中型拖拉机产量(万台),2004,11.38
大中型拖拉机产量(万台),2003,4.88
大中型拖拉机产量(万台),2002,4.54
大中型拖拉机产量(万台),2001,3.82
大中型拖拉机产量(万台),2000,4.1
大中型拖拉机产量(万台),1999,6.54
大中型拖拉机产量(万台),1998,6.78
复印和胶版印制设备产量(万台),2022,365
复印和胶版印制设备产量(万台),2021,390.8
复印和胶版印制设备产量(万台),2020,311.2
复印和胶版印制设备产量(万台),2019,487.79
复印和胶版印制设备产量(万台),2018,576.05
复印和胶版印制设备产量(万台),2017,626.14
复印和胶版印制设备产量(万台),2016,684.41
复印和胶版印制设备产量(万台),2015,734.2
复印和胶版印制设备产量(万台),2014,712.9
复印和胶版印制设备产量(万台),2013,698.2
复印和胶版印制设备产量(万台),2012,609.69
复印和胶版印制设备产量(万台),2011,655.05
复印和胶版印制设备产量(万台),2010,534.82
复印和胶版印制设备产量(万台),2009,421.02
复印和胶版印制设备产量(万台),2008,517.7
复印和胶版印制设备产量(万台),2007,452.36
复印和胶版印制设备产量(万台),2006,467.8
复印和胶版印制设备产量(万台),2005,403.56
复印和胶版印制设备产量(万台),2004,324.57
复印和胶版印制设备产量(万台),2003,264.17
复印和胶版印制设备产量(万台),2002,207.39
复印和胶版印制设备产量(万台),2001,144.12
复印和胶版印制设备产量(万台),2000,156.63
复印和胶版印制设备产量(万台),1999,210.29
复印和胶版印制设备产量(万台),1998,117.93
啤酒产量(万千升、万吨),2022,
啤酒产量(万千升、万吨),2021,3562.43
啤酒产量(万千升、万吨),2020,3411.11
啤酒产量(万千升、万吨),2019,3765.29
啤酒产量(万千升、万吨),2018,3800.83
啤酒产量(万千升、万吨),2017,4401.49
啤酒产量(万千升、万吨),2016,4506.44
啤酒产量(万千升、万吨),2015,4715.6
啤酒产量(万千升、万吨),2014,4936.29
啤酒产量(万千升、万吨),2013,4982.79
啤酒产量(万千升、万吨),2012,4778.58
啤酒产量(万千升、万吨),2011,4834.5
啤酒产量(万千升、万吨),2010,4490.16
啤酒产量(万千升、万吨),2009,4162.18
啤酒产量(万千升、万吨),2008,4156.91
啤酒产量(万千升、万吨),2007,3954.07
啤酒产量(万千升、万吨),2006,3543.58
啤酒产量(万千升、万吨),2005,3126.05
啤酒产量(万千升、万吨),2004,2948.59
啤酒产量(万千升、万吨),2003,2540.48
啤酒产量(万千升、万吨),2002,2402.7
啤酒产量(万千升、万吨),2001,2288.93
啤酒产量(万千升、万吨),2000,2231.32
啤酒产量(万千升、万吨),1999,2098.77
啤酒产量(万千升、万吨),1998,1987.67
合成洗涤剂产量(万吨),2022,
合成洗涤剂产量(万吨),2021,1077.61
合成洗涤剂产量(万吨),2020,1149.16
合成洗涤剂产量(万吨),2019,1048.56
合成洗涤剂产量(万吨),2018,1027.58
合成洗涤剂产量(万吨),2017,1311.49
合成洗涤剂产量(万吨),2016,1338.01
合成洗涤剂产量(万吨),2015,1311.08
合成洗涤剂产量(万吨),2014,1209.73
合成洗涤剂产量(万吨),2013,1094.27
合成洗涤剂产量(万吨),2012,933.8
合成洗涤剂产量(万吨),2011,888.14
合成洗涤剂产量(万吨),2010,752.59
合成洗涤剂产量(万吨),2009,699.66
合成洗涤剂产量(万吨),2008,655.31
合成洗涤剂产量(万吨),2007,582.97
合成洗涤剂产量(万吨),2006,527.68
合成洗涤剂产量(万吨),2005,516.95
合成洗涤剂产量(万吨),2004,465.17
合成洗涤剂产量(万吨),2003,386.79
合成洗涤剂产量(万吨),2002,348.32
合成洗涤剂产量(万吨),2001,330.42
合成洗涤剂产量(万吨),2000,297.47
合成洗涤剂产量(万吨),1999,286.53
合成洗涤剂产量(万吨),1998,280.34
合成氨产量(万吨),2022,
合成氨产量(万吨),2021,5189.38
合成氨产量(万吨),2020,5117.13
合成氨产量(万吨),2019,4735.03
合成氨产量(万吨),2018,4587.05
合成氨产量(万吨),2017,4946.26
合成氨产量(万吨),2016,5708.27
合成氨产量(万吨),2015,5791.4
合成氨产量(万吨),2014,5699.5
合成氨产量(万吨),2013,5739
合成氨产量(万吨),2012,5528.4
合成氨产量(万吨),2011,5252.7
合成氨产量(万吨),2010,4964.59
合成氨产量(万吨),2009,5136.35
合成氨产量(万吨),2008,4876.24
合成氨产量(万吨),2007,5171.05
合成氨产量(万吨),2006,4936.81
合成氨产量(万吨),2005,4596.25
合成氨产量(万吨),2004,4135.06
合成氨产量(万吨),2003,3822.65
合成氨产量(万吨),2002,3675.25
合成氨产量(万吨),2001,3427.28
合成氨产量(万吨),2000,3363.7
合成氨产量(万吨),1999,3431.72
合成氨产量(万吨),1998,3134.2
合成橡胶产量(万吨),2022,
合成橡胶产量(万吨),2021,820.79
合成橡胶产量(万吨),2020,751.32
合成橡胶产量(万吨),2019,743.96
合成橡胶产量(万吨),2018,691.39
合成橡胶产量(万吨),2017,592.09
合成橡胶产量(万吨),2016,559.97
合成橡胶产量(万吨),2015,534.17
合成橡胶产量(万吨),2014,549.55
合成橡胶产量(万吨),2013,480.64
合成橡胶产量(万吨),2012,397.39
合成橡胶产量(万吨),2011,367.13
合成橡胶产量(万吨),2010,319.52
合成橡胶产量(万吨),2009,274.91
合成橡胶产量(万吨),2008,296.03
合成橡胶产量(万吨),2007,228.92
合成橡胶产量(万吨),2006,199.81
合成橡胶产量(万吨),2005,181.12
合成橡胶产量(万吨),2004,184.04
合成橡胶产量(万吨),2003,134.83
合成橡胶产量(万吨),2002,136.21
合成橡胶产量(万吨),2001,121.98
合成橡胶产量(万吨),2000,86.52
合成橡胶产量(万吨),1999,73.28
合成橡胶产量(万吨),1998,58.9
发电量(亿千瓦小时),2022,88487.12
发电量(亿千瓦小时),2021,85342.48
